DATE,alcohol sales,grocery sales,household appliance sales,furniture sales
1992-01-01,3459.0,22506.0,8932,2297
1992-02-01,3458.0,21494.0,8779,2259
1992-03-01,4002.0,23277.0,9475,2688
1992-04-01,4564.0,23154.0,9020,2612
1992-05-01,4221.0,22804.0,8558,2472
1992-06-01,4529.0,22632.0,9556,2676
1992-07-01,4466.0,23703.0,9616,2446
1992-08-01,4137.0,22645.0,9553,2577
1992-09-01,4126.0,22942.0,10091,2728
1992-10-01,4259.0,23412.0,10319,2804
1992-11-01,4240.0,22513.0,9878,2793
1992-12-01,4936.0,23746.0,9792,2686
1993-01-01,3031.0,23057.0,9120,2304
1993-02-01,3261.0,21215.0,9402,2361
1993-03-01,4160.0,24407.0,10758,2729
1993-04-01,4377.0,23896.0,10435,2756
1993-05-01,4307.0,24520.0,10228,2718
1993-06-01,4696.0,24267.0,11284,2770
1993-07-01,4458.0,24182.0,11317,2618
1993-08-01,4457.0,23597.0,12137,2907
1993-09-01,4364.0,23688.0,12886,2870
1993-10-01,4236.0,23356.0,12863,2891
1993-11-01,4500.0,23642.0,12388,2685
1993-12-01,4974.0,23877.0,11831,2540
1994-01-01,3075.0,22309.0,10783,2242
1994-02-01,3377.0,21275.0,10956,2346
1994-03-01,4443.0,24632.0,13310,2817
1994-04-01,4261.0,23186.0,12053,2585
1994-05-01,4460.0,24455.0,12976,2648
1994-06-01,4985.0,24492.0,13571,2697
1994-07-01,4324.0,23591.0,12573,2575
1994-08-01,4719.0,25223.0,14489,3060
1994-09-01,4374.0,24451.0,14878,3136
1994-10-01,4248.0,25023.0,15156,3224
1994-11-01,4784.0,25493.0,14492,3017
1994-12-01,4971.0,25773.0,13884,2970
1995-01-01,3370.0,24397.0,13753,2696
1995-02-01,3484.0,22485.0,13783,2661
1995-03-01,4269.0,25870.0,15726,3370
1995-04-01,3994.0,24466.0,14003,2937
1995-05-01,4715.0,27185.0,15344,3213
1995-06-01,4974.0,26078.0,15852,3096
1995-07-01,4223.0,25545.0,14823,2847
1995-08-01,5000.0,26828.0,16814,3255
1995-09-01,4235.0,25748.0,17176,3080
1995-10-01,4554.0,27281.0,17595,3309
1995-11-01,4851.0,26787.0,16481,3200
1995-12-01,4826.0,26378.0,15261,2911
1996-01-01,3699.0,26173.0,15103,2663
1996-02-01,3983.0,24948.0,14973,2839
1996-03-01,4262.0,26023.0,16274,3027
1996-04-01,4619.0,25872.0,15159,3123
1996-05-01,5219.0,27493.0,15182,3300
1996-06-01,4836.0,25266.0,15197,3125
1996-07-01,4941.0,27848.0,15634,3167
1996-08-01,5062.0,27577.0,15956,3281
1996-09-01,4365.0,25583.0,16567,3361
1996-10-01,5012.0,28325.0,17545,3581
1996-11-01,4850.0,26456.0,15364,3369
1996-12-01,5097.0,26257.0,14200,3259
1997-01-01,3758.0,26702.0,14673,2995
1997-02-01,3825.0,24891.0,14500,3082
1997-03-01,4454.0,28521.0,16319,3275
1997-04-01,4635.0,27171.0,15568,3305
1997-05-01,5210.0,29027.0,15876,3238
1997-06-01,5057.0,27920.0,16433,3225
1997-07-01,5231.0,28378.0,16989,3265
1997-08-01,5034.0,27302.0,16976,3244
1997-09-01,4970.0,27024.0,18144,3786
1997-10-01,5342.0,28280.0,18123,3900
1997-11-01,4831.0,26584.0,15610,3390
1997-12-01,5965.0,28411.0,16404,3522
1998-01-01,3796.0,26497.0,14937,3216
1998-02-01,4019.0,25640.0,15053,3083
1998-03-01,4898.0,28616.0,17546,3693
1998-04-01,5090.0,28254.0,16186,3549
1998-05-01,5237.0,28737.0,16086,3398
1998-06-01,5447.0,29227.0,17393,3751
1998-07-01,5435.0,29764.0,17077,3562
1998-08-01,5107.0,28812.0,16834,3675
1998-09-01,5515.0,28370.0,18119,3781
1998-10-01,5583.0,29741.0,18642,3859
1998-11-01,5346.0,28391.0,16547,3803
1998-12-01,6286.0,29577.0,16725,3650
1999-01-01,4032.0,26473.0,15118,3179
1999-02-01,4435.0,25902.0,15989,3365
1999-03-01,5479.0,30509.0,19138,3960
1999-04-01,5483.0,28851.0,17358,3827
1999-05-01,5587.0,30548.0,17175,3721
1999-06-01,6176.0,29863.0,19151,3942
1999-07-01,5621.0,30028.0,18562,3967
1999-08-01,5889.0,30389.0,19568,4197
1999-09-01,5828.0,30294.0,20546,4166
1999-10-01,5849.0,30527.0,20598,4279
1999-11-01,6180.0,31087.0,20316,4259
1999-12-01,6771.0,31622.0,20606,4063
2000-01-01,4243.0,28729.0,18834,3665
2000-02-01,4952.0,28810.0,19856,4014
2000-03-01,6008.0,32096.0,22415,4531
2000-04-01,5353.0,29983.0,19588,4128
2000-05-01,6435.0,33287.0,21618,4503
2000-06-01,6673.0,32073.0,23098,4628
2000-07-01,5636.0,31585.0,21231,4191
2000-08-01,6630.0,32447.0,23682,4823
2000-09-01,5887.0,30290.0,23367,4615
